Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
58,0,1,605,2,21,3,1,4,0,72,3,4,4,1,17875,11761,4,1,13,3,3,1,29,2,2,1,0,0,0
45,0,1,950,1,28,3,5,4,1,97,3,1,4,1,2132,4585,4,0,20,4,4,1,8,3,3,5,4,0,3
40,0,1,300,2,26,3,2,3,1,74,3,2,1,1,8396,22217,1,0,14,3,2,1,8,3,2,7,7,7,5
36,0,0,1434,2,8,4,1,1,1,76,2,3,1,0,7587,14229,1,0,15,3,2,0,10,1,3,10,7,0,9
25,1,2,599,2,24,1,1,3,1,73,1,1,4,0,1118,8040,1,1,14,3,4,0,1,4,3,1,0,1,0
52,0,1,1490,1,4,2,1,4,0,30,3,4,4,1,16555,10310,2,0,13,3,4,0,31,2,1,5,2,1,4
47,0,1,207,1,9,4,1,2,0,64,3,1,3,0,2105,5411,4,0,12,3,3,0,7,2,3,2,2,2,0
26,0,1,390,1,17,4,3,4,1,62,1,1,3,1,2305,6217,1,0,15,3,3,3,3,3,4,3,2,0,2
24,0,0,830,2,13,2,1,4,0,78,3,1,2,1,2033,7103,1,0,13,3,3,1,1,2,3,1,0,0,0
27,0,1,608,1,1,2,1,3,0,68,3,3,1,1,7412,6009,1,0,11,3,4,0,9,3,3,9,7,0,7
30,0,1,793,1,16,1,1,2,1,33,3,1,4,1,2862,3811,1,0,12,3,2,1,10,2,2,10,0,0,8
47,0,1,1001,1,4,3,1,3,0,92,2,3,2,2,10333,19271,8,1,12,3,3,1,28,4,3,22,11,14,10
47,0,2,1309,2,4,1,3,2,1,99,3,2,3,0,2976,25751,3,0,19,3,1,0,5,3,3,0,0,0,0
